id	id_atividade	nota1	nota2	nota3	nota4	nota_final
110	10910	1	6	3	9	10
111	110551	7	0	8	0	0
112	71884	4	0	9	5	10
113	61802	3	2	3	0	0
114	55473	4	8	3	6	10
115	94476	9	3	8	2	10
116	106243	7	8	3	3	10
117	114398	1	4	8	7	10
118	2354	3	0	4	9	10
119	137675	6	8	9	9	10
120	148195	8	7	5	1	10
121	68437	3	1	4	7	10
122	54031	6	9	4	2	10
123	117246	2	2	3	8	10
124	126543	0	4	3	0	0
125	133314	3	6	4	3	10
126	148278	2	6	4	6	10
127	75490	4	9	5	9	10
128	79682	8	9	6	6	10
129	95125	1	8	0	7	10
130	129055	6	8	8	5	10
131	13281	9	1	4	0	0
132	21793	7	7	4	7	10
133	1146	3	2	4	5	10
134	133857	1	5	9	7	10
135	14018	2	3	3	8	10
136	80114	2	7	8	4	10
137	89967	4	9	2	7	10
138	87054	4	9	7	0	0
139	147063	3	4	2	1	10
140	128448	0	9	6	4	10
141	4532	4	5	5	9	10
142	124257	2	5	8	6	10
143	67730	4	2	7	2	10
144	51994	9	2	0	8	10
145	49059	1	5	3	5	10
146	62355	8	6	4	2	10
147	11246	7	6	3	1	10
148	103196	6	1	1	7	10
149	96267	6	5	2	4	10
150	141343	4	6	5	1	10
151	28608	6	5	5	0	0
152	88533	2	7	1	0	0
153	44298	8	6	8	9	10
154	20668	1	4	5	1	10
155	54612	3	2	9	3	10
156	127492	1	2	0	7	10
157	102575	3	8	3	7	10
158	98732	6	0	7	1	10
159	30051	1	8	0	0	0
160	73384	1	5	0	4	10
161	119494	6	3	2	0	0
162	87492	6	8	7	5	10
163	109060	7	3	6	7	10
164	116640	2	6	0	0	0
165	42373	4	8	8	8	10
166	119808	7	0	3	2	10
167	148608	2	2	9	1	10
168	47070	5	2	5	7	10
169	80857	4	0	1	2	10
170	109360	2	4	6	4	10
171	120748	1	0	6	8	10
172	69731	7	1	1	7	10
173	93563	6	6	3	6	10
174	44010	9	0	4	9	10
175	29860	7	8	0	5	10
176	115297	8	3	3	1	10
177	128797	0	0	4	4	10
178	88092	1	3	7	9	10
179	17133	8	5	1	0	0
180	93210	6	0	9	0	0
181	107316	2	7	0	1	10
182	148338	0	4	0	4	10
183	75658	9	8	4	2	10
184	114662	8	9	6	5	10
185	22695	4	5	0	2	10
186	149658	1	9	5	3	10
187	51535	4	7	1	8	10
188	70870	1	8	9	1	10
189	22564	8	6	7	4	10
190	125372	5	2	9	1	10
191	96527	3	3	5	1	10
192	49303	3	7	4	0	0
193	109825	9	9	2	8	10
194	94426	5	7	0	4	10
195	5182	6	6	2	6	10
196	139809	7	5	4	4	10
197	119966	4	2	8	0	0
198	9814	0	1	7	4	10
199	41923	0	1	3	1	10
200	75817	3	3	2	4	10
201	136089	4	3	1	5	10
202	8366	7	5	5	6	10
203	141235	7	5	6	0	0
204	89009	5	2	3	5	10
205	99933	1	1	8	3	10
206	110069	8	6	0	5	10
207	52192	0	7	7	1	10
208	47951	4	8	0	2	10
209	61426	9	0	9	6	10
210	17293	9	6	4	7	10
211	147463	9	6	5	5	10
212	27085	5	8	0	6	10
213	101698	1	5	5	2	10
214	8972	0	1	6	1	10
215	95355	5	9	5	6	10
216	42880	1	2	7	5	10
217	112777	2	5	4	3	10
218	57502	1	9	4	8	10
219	65332	5	5	0	7	10
220	139342	9	1	0	8	10
221	48791	2	3	8	6	10
222	40309	6	8	8	2	10
223	14428	1	1	8	6	10
224	89055	2	1	1	7	10
225	38310	5	0	1	4	10
226	101172	4	0	4	4	10
227	13734	3	5	3	1	10
228	94763	3	6	1	2	10
229	60455	8	5	8	7	10
230	144510	9	5	2	7	10
231	13486	2	2	5	8	10
232	134060	8	2	7	1	10
233	113212	1	5	9	9	10
234	135842	4	3	8	1	10
235	72941	2	5	9	3	10
236	137033	9	5	6	8	10
237	82048	9	6	4	4	10
238	105306	4	1	2	5	10
239	73176	3	1	3	4	10
240	4763	9	2	4	0	0
241	145754	6	0	0	9	10
242	71574	3	0	9	1	10
243	89044	0	4	3	5	10
244	86828	6	6	0	7	10
245	143408	6	1	4	7	10
246	71379	2	7	5	0	0
247	50934	7	8	4	6	10
248	41534	7	2	8	7	10
249	75359	6	4	4	8	10
250	4561	2	8	3	8	10
251	112224	1	5	8	2	10
252	15516	6	1	0	2	10
253	35674	8	6	7	0	0
254	91217	1	7	6	6	10
255	970	3	7	3	4	10
256	82206	9	5	1	2	10
257	46899	2	9	5	5	10
258	85200	1	2	0	9	10
259	106717	5	0	9	6	10
260	28363	7	4	2	5	10
261	56274	5	1	3	0	0
262	108333	9	9	8	0	0
263	79617	7	0	1	7	10
264	107012	1	4	0	6	10
265	117439	8	6	0	6	10
266	47546	6	4	4	8	10
267	79906	1	0	1	1	10
268	135709	4	4	7	5	10
269	68853	9	0	3	7	10
270	65527	3	5	6	2	10
271	125845	8	2	6	3	10
272	123227	4	8	4	1	10
273	56513	8	3	0	8	10
274	61793	7	7	2	4	10
275	57310	0	1	0	6	10
276	40617	6	0	9	6	10
277	79996	7	0	5	8	10
278	64476	0	4	9	3	10
279	118571	6	1	1	3	10
280	145138	4	3	2	3	10
281	136762	0	6	9	6	10
282	33804	4	2	7	5	10
283	132923	3	6	1	2	10
284	8531	5	0	6	2	10
285	115363	1	8	6	0	0
286	47693	2	7	9	3	10
287	4374	5	4	9	1	10
288	18752	4	6	9	1	10
289	22693	8	8	7	6	10
290	76005	7	9	3	7	10
291	134825	3	8	0	2	10
292	118853	5	4	3	2	10
293	22178	1	6	1	1	10
294	111677	2	7	1	3	10
295	123722	9	1	2	7	10
296	130441	2	7	5	3	10
297	64400	1	8	3	4	10
298	140342	6	2	0	4	10
299	114245	7	3	6	9	10
300	32441	2	7	8	1	10
301	22325	5	6	0	9	10
302	495	3	8	4	2	10
303	129165	5	8	2	0	0
304	78717	0	1	6	7	10
305	90634	3	5	5	0	0
306	148784	6	1	8	1	10
307	113251	4	4	2	4	10
308	137719	4	5	6	7	10
309	3265	7	9	7	4	10
310	90965	4	7	0	9	10
311	137673	9	0	5	5	10
312	67973	2	4	9	6	10
313	54230	9	3	0	7	10
314	118634	8	0	3	1	10
315	67379	0	0	7	2	10
316	67623	5	2	2	7	10
317	62458	5	3	2	9	10
318	67904	1	6	4	1	10
319	55820	1	0	0	4	10
320	111779	0	8	4	0	0
321	85786	4	2	8	3	10
322	41615	8	7	4	8	10
323	35993	1	1	0	5	10
324	39158	9	4	9	1	10
325	71021	2	9	2	0	0
326	105863	2	2	6	6	10
327	131594	2	6	8	8	10
328	16151	0	9	9	6	10
329	144033	1	8	8	5	10
330	58447	6	7	1	2	10
331	81090	9	4	6	5	10
332	132498	5	1	4	9	10
333	54911	9	3	0	4	10
334	58064	5	6	8	7	10
335	85812	7	3	0	8	10
336	112189	0	5	8	2	10
337	74190	9	0	5	9	10
338	127426	4	2	1	1	10
339	149243	9	6	3	1	10
340	102296	3	5	3	5	10
341	19567	8	0	2	3	10
342	105778	4	3	9	6	10
343	63755	0	2	9	0	0
344	41154	7	3	9	9	10
345	60097	8	5	7	6	10
346	92208	9	9	6	5	10
347	69462	9	9	4	2	10
348	46058	7	2	9	9	10
349	78218	9	3	8	4	10
350	55259	2	1	7	0	0
351	102246	2	6	4	1	10
352	147279	8	7	5	7	10
353	108602	0	0	0	9	10
354	91869	5	2	3	1	10
355	118024	7	2	6	0	0
356	28062	1	6	3	5	10
357	62671	2	6	4	9	10
358	138317	7	1	6	2	10
359	99290	8	7	5	6	10
360	49110	1	2	1	1	10
361	124118	7	9	7	6	10
362	15274	9	5	9	0	0
363	80855	8	4	7	3	10
364	103061	0	8	8	6	10
365	119587	7	3	4	3	10
366	71193	4	3	6	5	10
367	123616	2	5	3	5	10
368	31525	1	7	1	1	10
369	58954	2	2	0	1	10
370	45596	8	6	8	5	10
371	57308	2	5	2	6	10
372	50053	9	7	3	4	10
373	109388	8	9	4	2	10
374	13735	0	5	4	5	10
375	19449	9	2	9	0	0
376	95779	8	4	6	8	10
377	88799	1	1	7	5	10
378	132469	3	4	0	1	10
379	121738	7	4	6	9	10
380	40598	8	7	5	9	10
381	40519	8	3	7	8	10
382	93733	6	6	8	9	10
383	124963	6	7	1	4	10
384	41532	7	8	6	3	10
385	105158	1	2	1	1	10
386	88776	5	4	3	2	10
387	33271	0	4	1	3	10
388	116469	0	1	7	4	10
389	63000	6	8	6	2	10
390	62467	8	4	5	4	10
391	51544	3	0	7	2	10
392	21843	8	4	2	9	10
393	110124	2	2	7	4	10
394	59993	3	6	3	5	10
395	77885	0	7	5	1	10
396	124712	0	8	4	7	10
397	70666	6	1	6	0	0
398	108168	7	6	2	0	0
399	18890	1	4	6	8	10
400	79947	9	6	2	7	10
401	7388	2	6	3	9	10
402	36800	4	4	5	0	0
403	47705	2	2	6	9	10
404	89865	6	7	8	6	10
405	70216	1	0	8	5	10
406	5911	8	1	2	9	10
407	125783	9	3	5	0	0
408	17674	0	7	1	6	10
409	123666	4	2	1	1	10
410	118760	0	9	3	7	10
411	6257	4	2	0	1	10
412	47843	1	0	3	1	10
413	55876	3	3	7	6	10
414	67440	2	3	1	7	10
415	57509	3	2	9	2	10
416	9248	9	4	5	7	10
417	110896	6	2	9	8	10
418	76971	0	2	9	8	10
419	109529	1	6	5	9	10
420	30662	0	6	9	9	10
421	47027	3	1	3	4	10
422	112126	7	2	9	8	10
423	133863	3	9	0	3	10
424	70420	3	6	7	6	10
425	125820	5	5	2	4	10
426	145269	9	5	7	0	0
427	129120	5	6	5	8	10
428	86019	9	1	4	7	10
429	79349	7	8	8	7	10
430	22267	6	9	5	5	10
431	56974	8	2	1	4	10
432	57217	5	5	6	0	0
433	140112	5	4	6	0	0
434	147318	2	2	3	8	10
435	54274	7	1	1	6	10
436	109052	5	7	6	4	10
437	38470	1	9	8	0	0
438	116290	2	8	6	3	10
439	47260	3	7	7	9	10
440	19336	9	6	6	5	10
441	67535	8	2	1	8	10
442	98609	3	9	8	3	10
443	41495	3	1	0	1	10
444	88494	1	4	0	6	10
445	107192	3	1	3	9	10
446	129530	6	3	8	8	10
447	120663	9	0	7	5	10
448	27978	4	3	6	3	10
449	85111	9	4	5	1	10
450	36011	3	3	3	5	10
451	104194	7	1	4	7	10
452	50473	4	8	7	4	10
453	52799	2	9	9	5	10
454	106737	1	9	3	9	10
455	20661	0	4	2	1	10
456	107249	8	5	1	9	10
457	79875	3	4	8	9	10
458	126377	5	3	5	4	10
459	120395	3	9	1	4	10
460	104550	3	4	4	7	10
461	73107	1	1	0	6	10
462	139135	5	0	1	4	10
463	95610	9	0	4	9	10
464	12809	3	9	1	6	10
465	66138	4	2	3	2	10
466	19535	4	9	7	0	0
467	147177	8	1	1	6	10
468	26686	5	9	5	5	10
469	68424	6	1	7	7	10
470	100496	1	6	1	4	10
471	103939	3	1	3	7	10
472	10923	7	9	2	9	10
473	18916	0	0	0	8	10
474	110946	2	7	6	7	10
475	93230	2	8	7	4	10
476	50469	7	2	4	8	10
477	133474	0	9	0	5	10
478	29175	3	1	7	2	10
479	4637	3	0	9	9	10
480	46891	5	6	4	8	10
481	137901	8	2	4	2	10
482	64833	6	6	2	2	10
483	119190	1	0	2	9	10
484	138718	7	1	6	6	10
485	89043	4	0	3	3	10
486	6134	4	3	8	9	10
487	57385	1	6	8	6	10
488	86788	8	7	5	0	0
489	15319	4	1	2	9	10
490	165	6	8	2	3	10
491	81547	5	1	2	2	10
492	114489	4	3	2	0	0
493	97681	7	2	6	5	10
494	140922	5	3	2	4	10
495	88443	1	0	9	9	10
496	51852	5	2	3	8	10
497	73074	2	5	3	9	10
498	104502	7	9	4	0	0
499	100100	8	4	2	2	10
500	44233	3	8	5	1	10
501	4872	2	5	2	8	10
502	2199	9	3	4	9	10
503	120448	3	7	4	2	10
504	30800	0	1	4	4	10
505	102692	6	3	0	9	10
506	111175	4	2	1	5	10
507	31895	1	9	7	0	0
508	18509	9	4	5	5	10
509	117233	6	0	6	9	10
510	95517	0	7	8	0	0
511	130415	1	0	6	5	10
512	6930	7	1	3	6	10
513	52541	6	0	1	3	10
514	131560	9	6	9	9	10
515	75981	0	4	2	8	10
516	117776	1	2	7	3	10
517	128220	6	7	2	8	10
518	39819	9	4	6	8	10
519	30799	9	2	3	0	0
520	24190	8	4	9	2	10
521	144152	2	8	0	1	10
522	63449	3	6	8	6	10
523	50009	6	3	4	1	10
524	26969	1	5	3	6	10
525	61321	4	8	8	2	10
526	106346	2	1	0	4	10
527	127680	9	8	6	1	10
528	109411	5	6	2	0	0
529	81219	5	8	6	4	10
530	120020	6	5	9	6	10
531	148818	8	9	4	3	10
532	82128	3	3	8	2	10
533	34706	1	5	7	9	10
534	62739	4	8	8	8	10
535	131037	1	7	8	3	10
536	739	0	2	9	6	10
537	84183	9	2	0	9	10
538	75951	9	4	8	7	10
539	71095	3	6	2	8	10
540	124699	3	8	5	0	0
541	101330	3	4	5	5	10
542	148456	6	9	3	8	10
543	95603	9	2	0	1	10
544	46935	1	9	0	8	10
545	135935	3	0	7	7	10
546	109347	3	5	2	5	10
547	117202	0	0	2	8	10
548	113845	6	0	6	2	10
549	147568	7	1	6	9	10
550	100666	5	9	6	1	10
551	62339	9	0	5	2	10
552	122622	6	2	5	6	10
553	140503	2	9	6	4	10
554	134319	9	7	1	4	10
555	11862	7	8	5	3	10
556	141760	9	8	4	0	0
557	26979	8	5	1	7	10
558	19496	1	5	0	1	10
559	125017	6	1	0	7	10
560	110025	7	8	9	5	10
561	10144	4	0	5	1	10
562	26058	0	9	7	4	10
563	138010	3	2	0	2	10
564	42349	5	7	9	5	10
565	142552	1	1	1	8	10
566	149057	3	6	4	9	10
567	115474	1	7	9	2	10
568	8742	3	2	4	1	10
569	76079	2	2	7	7	10
570	47792	2	8	7	8	10
571	145421	3	9	3	5	10
572	123003	5	8	7	7	10
573	66420	3	3	4	0	0
574	110267	2	6	8	2	10
575	87048	7	5	6	4	10
576	56650	0	8	3	7	10
577	46029	0	9	3	5	10
578	138299	2	0	0	8	10
579	106831	4	9	1	1	10
580	29380	2	4	3	6	10
581	115859	7	0	9	3	10
582	106348	7	5	3	7	10
583	110884	0	5	6	7	10
584	29517	7	4	2	4	10
585	47008	3	4	8	5	10
586	48515	2	2	1	0	0
587	84529	4	2	7	0	0
588	60145	4	9	6	7	10
589	149607	3	1	9	7	10
590	120234	4	6	1	6	10
591	28783	4	8	3	3	10
592	71992	4	8	8	3	10
593	29438	9	8	6	1	10
594	54533	0	3	1	4	10
595	143024	4	5	6	1	10
596	145505	8	4	5	5	10
597	111041	3	8	3	5	10
598	23126	5	5	9	3	10
599	138030	9	3	7	6	10
600	9889	6	1	3	4	10
601	66914	3	4	7	5	10
602	38355	3	5	4	5	10
603	47211	2	4	6	9	10
604	129212	5	7	3	1	10
605	43989	0	5	1	8	10
606	133057	5	4	2	8	10
607	95845	9	3	5	4	10
608	60554	0	3	1	5	10
609	40819	6	7	7	2	10
610	120322	4	7	8	0	0
611	116428	7	6	0	8	10
612	41088	0	4	0	1	10
613	77115	1	4	9	5	10
614	19341	8	6	7	4	10
615	81382	0	8	2	4	10
616	95875	3	8	0	7	10
617	20792	4	4	5	5	10
618	146158	0	6	0	8	10
619	124682	9	5	2	5	10
620	116451	6	2	7	2	10
621	106288	9	8	6	2	10
622	112328	7	5	6	8	10
623	40298	3	4	4	3	10
624	139015	7	6	8	4	10
625	81155	1	2	8	3	10
626	86811	2	7	4	3	10
627	26897	9	4	1	2	10
628	126356	2	4	2	1	10
629	25366	6	2	5	3	10
630	26910	6	8	0	9	10
631	70564	4	9	4	6	10
632	42586	8	6	1	1	10
633	64363	0	3	4	5	10
634	142163	1	9	0	5	10
635	22855	6	0	9	8	10
636	16376	4	7	1	2	10
637	135234	8	6	4	2	10
638	93442	0	5	7	4	10
639	107515	2	5	8	5	10
640	128001	5	8	4	3	10
641	53472	6	3	3	1	10
642	131582	7	4	5	9	10
643	25433	8	7	2	6	10
644	120038	0	5	8	7	10
645	117793	8	6	2	7	10
646	56246	5	7	5	5	10
647	111902	6	5	5	1	10
648	32764	6	4	8	2	10
649	39497	7	4	3	2	10
650	15826	4	3	7	4	10
651	53538	8	9	0	2	10
652	24255	6	3	9	5	10
653	114017	2	1	5	2	10
654	47593	4	6	2	4	10
655	6775	6	7	7	5	10
656	127800	7	4	8	9	10
657	132100	6	7	0	3	10
658	140002	0	9	6	6	10
659	104161	4	2	4	8	10
660	82221	3	1	1	2	10
661	68951	2	3	0	9	10
662	27449	9	3	4	8	10
663	109246	2	4	9	9	10
664	49912	7	1	3	6	10
665	112022	2	0	1	6	10
666	28899	9	9	7	8	10
667	136408	0	9	4	6	10
668	99913	7	0	3	8	10
669	61660	5	6	9	7	10
670	32209	2	5	9	0	0
671	107563	9	1	8	5	10
672	86501	4	4	7	3	10
673	105191	2	4	9	0	0
674	11183	8	3	3	5	10
675	67524	7	4	5	7	10
676	75732	1	2	2	9	10
677	116544	8	9	2	5	10
678	97121	0	4	6	3	10
679	116988	6	5	4	5	10
680	140034	3	8	9	2	10
681	65916	1	7	3	8	10
682	19598	0	0	1	5	10
683	137257	2	9	8	0	0
684	4386	9	2	6	8	10
685	129577	5	8	6	1	10
686	76477	5	7	2	5	10
687	51037	9	2	7	0	0
688	99649	8	6	7	3	10
689	130767	7	2	2	0	0
690	13688	4	5	2	1	10
691	33941	5	5	3	2	10
692	138529	5	4	3	4	10
693	14637	7	7	1	2	10
694	54586	1	9	4	8	10
695	35445	1	2	1	1	10
696	85624	3	4	7	5	10
697	5159	1	5	9	2	10
698	52070	0	4	2	1	10
699	20528	4	2	9	1	10
700	14615	1	6	4	3	10
701	72018	6	1	1	3	10
702	38570	1	4	8	1	10
703	83855	2	4	4	0	0
704	88773	2	6	2	9	10
705	61742	6	5	4	2	10
706	81556	2	8	9	8	10
707	111328	6	8	4	4	10
708	87484	5	5	0	0	0
709	107009	4	1	0	1	10
710	35398	6	9	7	2	10
711	48609	6	6	4	1	10
712	9811	4	9	9	8	10
713	19798	1	9	3	8	10
714	19599	8	9	2	7	10
715	1749	2	8	7	5	10
716	1489	0	0	2	6	10
717	127309	9	2	4	5	10
718	76160	8	2	9	2	10
719	11192	2	1	0	1	10
720	5108	7	6	5	1	10
721	121526	8	7	9	3	10
722	61275	0	8	2	5	10
723	141637	2	9	9	3	10
724	120290	0	4	6	3	10
725	51643	8	9	8	6	10
726	128526	2	3	8	2	10
727	21599	9	5	9	3	10
728	29305	9	8	4	7	10
729	76320	2	9	9	7	10
730	65193	1	7	4	8	10
731	82200	3	1	4	8	10
732	50889	8	9	8	6	10
733	35850	4	0	3	8	10
734	6775	5	7	0	0	0
735	38950	4	8	9	7	10
736	15302	8	6	4	3	10
737	19429	0	2	8	2	10
738	38976	2	0	4	2	10
739	60023	6	9	6	5	10
740	87161	2	6	0	5	10
741	102839	6	9	6	1	10
742	90626	7	0	2	6	10
743	103358	3	6	6	4	10
744	82162	8	7	7	8	10
745	123309	1	3	6	7	10
746	27193	2	2	9	5	10
747	65134	7	2	1	4	10
748	142903	1	0	5	6	10
749	79735	0	2	4	2	10
750	128441	8	5	0	9	10
751	146601	1	7	6	1	10
752	47412	2	7	8	0	0
753	134724	1	3	5	2	10
754	75614	1	0	9	6	10
755	28805	0	9	9	5	10
756	24929	0	3	2	8	10
757	27145	7	7	9	7	10
758	133530	1	8	4	2	10
759	21730	2	8	0	2	10
760	61093	3	0	7	4	10
761	133036	8	4	9	8	10
762	5438	7	8	5	9	10
763	27672	9	4	0	1	10
764	88247	5	2	3	4	10
765	46287	7	3	8	0	0
766	124780	2	2	4	1	10
767	116371	3	6	7	6	10
768	56781	0	7	8	4	10
769	22948	5	0	1	5	10
770	43018	6	1	5	2	10
771	553	9	6	0	1	10
772	17599	9	2	3	2	10
773	119018	9	0	1	9	10
774	40331	5	1	3	4	10
775	95038	9	5	7	4	10
776	61852	4	7	7	2	10
777	20955	9	1	6	0	0
778	118296	8	2	4	6	10
779	82183	4	8	4	7	10
780	101333	5	8	6	8	10
781	90281	1	5	6	1	10
782	12487	4	3	1	7	10
783	110945	6	4	9	9	10
784	7677	5	1	7	2	10
785	44463	1	6	6	6	10
786	148388	0	2	1	8	10
787	19208	3	9	2	8	10
788	145765	3	1	2	1	10
789	17211	9	2	2	2	10
790	96135	4	9	0	1	10
791	16540	3	4	7	5	10
792	145890	4	0	8	6	10
793	7736	8	6	5	9	10
794	7994	9	4	2	5	10
795	28793	1	6	3	7	10
796	116799	3	0	3	5	10
797	95249	6	9	5	9	10
798	79390	0	2	8	2	10
799	121961	6	6	9	5	10
800	18633	2	5	9	2	10
801	21889	6	5	8	7	10
802	66954	7	0	2	1	10
803	146869	5	4	6	2	10
804	48740	5	9	6	7	10
805	83451	0	5	7	2	10
806	141938	2	2	0	4	10
807	1462	1	8	3	4	10
808	64889	2	6	8	6	10
809	60783	3	1	4	8	10
810	93492	3	8	2	9	10
811	54941	4	3	0	6	10
812	105234	1	2	5	6	10
813	72723	5	1	6	6	10
814	105797	9	9	6	3	10
815	85304	2	9	1	3	10
816	127455	7	5	6	8	10
817	8877	0	6	7	0	0
818	39596	9	9	6	6	10
819	141534	7	4	4	0	0
820	17624	6	4	1	7	10
821	120453	1	4	0	3	10
822	140270	2	1	7	9	10
823	77730	6	2	4	5	10
824	138340	0	8	0	4	10
825	51964	2	7	8	3	10
826	2793	7	9	8	1	10
827	88465	7	4	3	3	10
828	19145	6	3	5	0	0
829	11508	9	3	2	7	10
830	143098	3	5	3	8	10
831	140308	3	0	4	9	10
832	65681	6	0	9	7	10
833	85989	1	7	5	6	10
834	58600	7	1	5	9	10
835	94439	9	4	1	8	10
836	101841	9	6	2	1	10
837	34893	7	0	0	2	10
838	33969	7	0	9	7	10
839	56910	0	3	0	3	10
840	30382	4	2	2	2	10
841	15631	4	3	9	5	10
842	64575	3	2	1	8	10
843	45226	9	8	1	1	10
844	9518	3	9	1	0	0
845	5043	3	4	0	9	10
846	15519	4	1	5	7	10
847	106170	8	1	3	3	10
848	72911	4	8	6	7	10
849	129942	4	0	2	9	10
850	109654	9	3	1	4	10
851	1576	2	1	4	2	10
852	23526	3	8	7	1	10
853	135134	4	6	0	0	0
854	105897	1	2	6	8	10
855	113791	2	8	1	7	10
856	46759	5	6	7	0	0
857	72879	1	9	3	8	10
858	92307	8	8	5	9	10
859	35651	8	1	5	5	10
860	139027	8	7	1	6	10
861	69894	1	2	9	3	10
862	7798	2	0	4	2	10
863	84119	5	7	9	4	10
864	116411	0	1	0	6	10
865	63860	1	7	8	7	10
866	112299	9	5	9	6	10
867	100489	1	7	4	3	10
868	27050	8	6	9	0	0
869	104195	3	3	4	1	10
870	100674	2	1	0	4	10
871	132801	2	2	2	8	10
872	16284	0	5	0	5	10
873	36432	3	8	0	7	10
874	121921	3	6	7	1	10
875	14072	5	0	9	1	10
876	42099	6	1	0	0	0
877	4093	5	5	6	4	10
878	82547	1	5	7	2	10
879	67637	1	9	6	3	10
880	29942	7	4	6	1	10
881	139154	3	5	7	8	10
882	32957	5	0	4	3	10
883	79803	2	5	9	7	10
884	72880	2	7	4	5	10
885	14530	9	0	1	0	0
886	143236	5	4	0	2	10
887	41230	9	3	6	7	10
888	63543	6	3	9	5	10
889	143030	3	0	4	8	10
890	62071	7	8	9	7	10
891	112281	0	4	3	3	10
892	40374	6	1	3	6	10
893	97662	0	4	6	9	10
894	83051	5	0	1	5	10
895	44570	4	3	5	8	10
896	72867	9	4	2	2	10
897	72041	7	3	3	6	10
898	124871	3	2	0	6	10
899	86247	5	6	2	8	10
900	45629	7	7	8	9	10
901	14948	2	1	8	3	10
902	39031	4	3	0	6	10
903	96483	9	8	7	8	10
904	20365	4	4	2	0	0
905	78895	1	5	1	6	10
906	82168	7	3	2	0	0
907	99568	0	5	6	5	10
908	118949	8	1	6	6	10
909	33266	1	2	1	3	10
910	84469	3	6	0	6	10
911	142683	7	5	7	1	10
912	51208	4	5	0	6	10
913	123296	4	9	0	9	10
914	72235	2	9	3	3	10
915	93608	0	9	8	1	10
916	24649	7	3	0	4	10
917	38538	3	8	2	8	10
918	42986	9	4	3	6	10
919	33971	3	5	5	2	10
920	45133	4	2	4	6	10
921	35250	6	4	7	8	10
922	39768	9	5	8	1	10
923	31356	9	5	7	5	10
924	44872	0	2	2	5	10
925	9797	7	4	7	1	10
926	146458	4	1	8	4	10
927	38002	4	2	9	8	10
928	67184	1	6	7	0	0
929	80366	6	2	9	3	10
