id	nome	login	id_ativo	id_sexo
64	Jo‹o 64	64-Jo‹o64	1	1
65	Maria 65	65-Jo‹o65	0	0
66	Maria 66	66-Jo‹o66	1	0
67	Jo‹o 67	67-Jo‹o67	1	1
68	Maria 68	68-Maria68	1	0
69	Jo‹o 69	69-Maria69	1	1
70	Maria 70	70-Maria70	0	0
71	Maria 71	71-Maria71	1	0
72	Jo‹o 72	72-Maria72	1	1
73	Maria 73	73-Jo‹o73	0	0
74	Jo‹o 74	74-Maria74	1	1
75	Jo‹o 75	75-Maria75	0	1
76	Maria 76	76-Jo‹o76	0	0
77	Jo‹o 77	77-Jo‹o77	1	1
78	Maria 78	78-Maria78	0	0
79	Maria 79	79-Maria79	1	0
80	Jo‹o 80	80-Jo‹o80	0	1
81	Jo‹o 81	81-Maria81	1	1
82	Maria 82	82-Jo‹o82	0	0
83	Jo‹o 83	83-Jo‹o83	0	1
84	Maria 84	84-Jo‹o84	0	0
85	Maria 85	85-Maria85	1	0
86	Maria 86	86-Jo‹o86	1	0
87	Jo‹o 87	87-Maria87	0	1
88	Jo‹o 88	88-Maria88	0	1
89	Jo‹o 89	89-Jo‹o89	1	1
90	Maria 90	90-Jo‹o90	1	0
91	Jo‹o 91	91-Jo‹o91	0	1
92	Maria 92	92-Jo‹o92	0	0
93	Jo‹o 93	93-Jo‹o93	1	1
94	Maria 94	94-Maria94	1	0
95	Jo‹o 95	95-Jo‹o95	1	1
96	Maria 96	96-Jo‹o96	1	0
97	Maria 97	97-Maria97	0	0
98	Maria 98	98-Maria98	0	0
99	Jo‹o 99	99-Jo‹o99	0	1
100	Maria 100	100-Maria100	0	0
101	Maria 101	101-Maria101	1	0
102	Jo‹o 102	102-Maria102	1	1
103	Jo‹o 103	103-Maria103	0	1
104	Jo‹o 104	104-Jo‹o104	1	1
105	Jo‹o 105	105-Maria105	1	1
106	Maria 106	106-Maria106	1	0
107	Jo‹o 107	107-Maria107	0	1
108	Jo‹o 108	108-Maria108	0	1
109	Jo‹o 109	109-Jo‹o109	1	1
110	Jo‹o 110	110-Jo‹o110	1	1
111	Maria 111	111-Jo‹o111	1	0
112	Jo‹o 112	112-Maria112	1	1
113	Maria 113	113-Jo‹o113	0	0
114	Jo‹o 114	114-Jo‹o114	1	1
115	Maria 115	115-Maria115	1	0
116	Maria 116	116-Maria116	1	0
117	Maria 117	117-Jo‹o117	0	0
118	Jo‹o 118	118-Maria118	0	1
119	Maria 119	119-Maria119	0	0
120	Jo‹o 120	120-Maria120	0	1
121	Maria 121	121-Maria121	0	0
122	Jo‹o 122	122-Jo‹o122	1	1
123	Jo‹o 123	123-Jo‹o123	0	1
124	Maria 124	124-Maria124	1	0
125	Maria 125	125-Jo‹o125	1	0
126	Jo‹o 126	126-Jo‹o126	1	1
127	Jo‹o 127	127-Maria127	0	1
128	Maria 128	128-Maria128	0	0
129	Jo‹o 129	129-Maria129	0	1
130	Jo‹o 130	130-Jo‹o130	1	1
131	Maria 131	131-Jo‹o131	0	0
132	Jo‹o 132	132-Jo‹o132	0	1
133	Jo‹o 133	133-Jo‹o133	1	1
134	Jo‹o 134	134-Maria134	0	1
135	Jo‹o 135	135-Maria135	0	1
136	Maria 136	136-Maria136	1	0
137	Jo‹o 137	137-Maria137	0	1
138	Jo‹o 138	138-Maria138	0	1
139	Maria 139	139-Jo‹o139	0	0
140	Jo‹o 140	140-Jo‹o140	1	1
141	Jo‹o 141	141-Jo‹o141	1	1
142	Jo‹o 142	142-Jo‹o142	0	1
143	Maria 143	143-Maria143	0	0
144	Jo‹o 144	144-Jo‹o144	0	1
145	Maria 145	145-Maria145	0	0
146	Jo‹o 146	146-Maria146	0	1
147	Maria 147	147-Maria147	1	0
148	Maria 148	148-Jo‹o148	0	0
149	Jo‹o 149	149-Maria149	1	1
150	Maria 150	150-Maria150	1	0
151	Jo‹o 151	151-Jo‹o151	1	1
152	Jo‹o 152	152-Jo‹o152	1	1
153	Maria 153	153-Maria153	0	0
154	Maria 154	154-Jo‹o154	1	0
155	Maria 155	155-Maria155	1	0
156	Jo‹o 156	156-Maria156	1	1
157	Maria 157	157-Jo‹o157	0	0
158	Maria 158	158-Jo‹o158	0	0
159	Maria 159	159-Jo‹o159	0	0
160	Jo‹o 160	160-Maria160	0	1
161	Jo‹o 161	161-Maria161	1	1
162	Maria 162	162-Jo‹o162	1	0
163	Maria 163	163-Jo‹o163	1	0
164	Jo‹o 164	164-Maria164	0	1
165	Jo‹o 165	165-Maria165	1	1
166	Maria 166	166-Jo‹o166	1	0
167	Maria 167	167-Maria167	0	0
168	Maria 168	168-Jo‹o168	0	0
169	Jo‹o 169	169-Jo‹o169	0	1
170	Maria 170	170-Maria170	0	0
171	Maria 171	171-Jo‹o171	0	0
172	Maria 172	172-Maria172	1	0
173	Maria 173	173-Jo‹o173	0	0
174	Maria 174	174-Maria174	1	0
175	Jo‹o 175	175-Jo‹o175	1	1
176	Maria 176	176-Jo‹o176	1	0
177	Maria 177	177-Jo‹o177	1	0
178	Jo‹o 178	178-Jo‹o178	1	1
179	Jo‹o 179	179-Jo‹o179	1	1
180	Jo‹o 180	180-Jo‹o180	0	1
181	Maria 181	181-Maria181	1	0
182	Maria 182	182-Jo‹o182	0	0
183	Maria 183	183-Maria183	1	0
184	Jo‹o 184	184-Jo‹o184	1	1
185	Jo‹o 185	185-Maria185	0	1
186	Maria 186	186-Maria186	0	0
187	Maria 187	187-Maria187	0	0
188	Maria 188	188-Jo‹o188	0	0
189	Maria 189	189-Maria189	1	0
190	Maria 190	190-Maria190	1	0
191	Maria 191	191-Maria191	1	0
192	Jo‹o 192	192-Maria192	1	1
193	Maria 193	193-Maria193	0	0
194	Jo‹o 194	194-Maria194	1	1
195	Jo‹o 195	195-Jo‹o195	0	1
196	Jo‹o 196	196-Jo‹o196	1	1
197	Jo‹o 197	197-Maria197	1	1
198	Jo‹o 198	198-Maria198	0	1
199	Jo‹o 199	199-Jo‹o199	0	1
200	Jo‹o 200	200-Maria200	0	1
201	Maria 201	201-Maria201	1	0
202	Maria 202	202-Jo‹o202	1	0
203	Maria 203	203-Jo‹o203	0	0
204	Jo‹o 204	204-Maria204	0	1
205	Maria 205	205-Jo‹o205	0	0
206	Jo‹o 206	206-Jo‹o206	0	1
207	Maria 207	207-Maria207	1	0
208	Jo‹o 208	208-Maria208	1	1
209	Maria 209	209-Maria209	0	0
210	Maria 210	210-Maria210	1	0
211	Jo‹o 211	211-Maria211	0	1
212	Jo‹o 212	212-Jo‹o212	1	1
213	Jo‹o 213	213-Maria213	1	1
214	Jo‹o 214	214-Maria214	0	1
215	Maria 215	215-Maria215	0	0
216	Jo‹o 216	216-Jo‹o216	0	1
217	Jo‹o 217	217-Jo‹o217	0	1
218	Jo‹o 218	218-Jo‹o218	0	1
219	Maria 219	219-Maria219	1	0
220	Maria 220	220-Maria220	1	0
221	Jo‹o 221	221-Jo‹o221	1	1
222	Maria 222	222-Jo‹o222	1	0
223	Maria 223	223-Jo‹o223	1	0
224	Maria 224	224-Jo‹o224	1	0
225	Jo‹o 225	225-Maria225	0	1
226	Jo‹o 226	226-Jo‹o226	1	1
227	Maria 227	227-Jo‹o227	1	0
228	Maria 228	228-Jo‹o228	0	0
229	Jo‹o 229	229-Maria229	1	1
230	Maria 230	230-Jo‹o230	1	0
231	Jo‹o 231	231-Jo‹o231	0	1
232	Maria 232	232-Maria232	1	0
233	Maria 233	233-Jo‹o233	0	0
234	Jo‹o 234	234-Maria234	1	1
235	Jo‹o 235	235-Jo‹o235	1	1
236	Maria 236	236-Jo‹o236	1	0
237	Maria 237	237-Maria237	0	0
238	Maria 238	238-Maria238	1	0
239	Jo‹o 239	239-Maria239	0	1
240	Jo‹o 240	240-Maria240	0	1
241	Jo‹o 241	241-Maria241	0	1
242	Maria 242	242-Jo‹o242	1	0
243	Maria 243	243-Maria243	1	0
244	Maria 244	244-Jo‹o244	0	0
245	Maria 245	245-Jo‹o245	0	0
246	Maria 246	246-Jo‹o246	1	0
247	Jo‹o 247	247-Jo‹o247	0	1
248	Maria 248	248-Jo‹o248	1	0
249	Jo‹o 249	249-Maria249	1	1
250	Jo‹o 250	250-Maria250	0	1
251	Jo‹o 251	251-Jo‹o251	0	1
252	Maria 252	252-Maria252	1	0
253	Maria 253	253-Maria253	0	0
254	Maria 254	254-Jo‹o254	1	0
255	Maria 255	255-Maria255	0	0
256	Maria 256	256-Jo‹o256	0	0
257	Jo‹o 257	257-Maria257	0	1
258	Jo‹o 258	258-Maria258	1	1
259	Maria 259	259-Maria259	0	0
260	Jo‹o 260	260-Jo‹o260	1	1
261	Maria 261	261-Jo‹o261	0	0
262	Maria 262	262-Maria262	0	0
263	Maria 263	263-Jo‹o263	0	0
264	Maria 264	264-Jo‹o264	1	0
265	Jo‹o 265	265-Jo‹o265	1	1
266	Jo‹o 266	266-Maria266	1	1
267	Jo‹o 267	267-Maria267	1	1
268	Jo‹o 268	268-Jo‹o268	0	1
269	Jo‹o 269	269-Maria269	1	1
270	Maria 270	270-Jo‹o270	0	0
271	Maria 271	271-Jo‹o271	1	0
272	Jo‹o 272	272-Jo‹o272	1	1
273	Maria 273	273-Maria273	0	0
274	Jo‹o 274	274-Jo‹o274	1	1
275	Maria 275	275-Jo‹o275	1	0
276	Maria 276	276-Maria276	1	0
277	Jo‹o 277	277-Maria277	1	1
278	Maria 278	278-Maria278	0	0
279	Maria 279	279-Maria279	0	0
280	Maria 280	280-Maria280	1	0
281	Jo‹o 281	281-Jo‹o281	1	1
282	Jo‹o 282	282-Jo‹o282	0	1
283	Jo‹o 283	283-Jo‹o283	1	1
284	Maria 284	284-Jo‹o284	0	0
285	Maria 285	285-Maria285	0	0
286	Jo‹o 286	286-Maria286	1	1
287	Jo‹o 287	287-Jo‹o287	1	1
288	Jo‹o 288	288-Maria288	0	1
289	Jo‹o 289	289-Jo‹o289	0	1
290	Jo‹o 290	290-Jo‹o290	1	1
291	Maria 291	291-Jo‹o291	1	0
292	Jo‹o 292	292-Jo‹o292	1	1
293	Maria 293	293-Jo‹o293	0	0
294	Jo‹o 294	294-Maria294	1	1
295	Jo‹o 295	295-Jo‹o295	1	1
296	Jo‹o 296	296-Jo‹o296	1	1
297	Jo‹o 297	297-Maria297	0	1
298	Jo‹o 298	298-Maria298	0	1
299	Maria 299	299-Jo‹o299	1	0
300	Jo‹o 300	300-Maria300	0	1
301	Jo‹o 301	301-Maria301	0	1
302	Maria 302	302-Maria302	1	0
303	Maria 303	303-Jo‹o303	0	0
304	Jo‹o 304	304-Jo‹o304	0	1
305	Jo‹o 305	305-Jo‹o305	1	1
306	Jo‹o 306	306-Maria306	0	1
307	Maria 307	307-Maria307	1	0
308	Maria 308	308-Maria308	1	0
309	Maria 309	309-Maria309	1	0
310	Maria 310	310-Jo‹o310	0	0
311	Maria 311	311-Maria311	0	0
312	Jo‹o 312	312-Jo‹o312	0	1
313	Maria 313	313-Jo‹o313	0	0
314	Maria 314	314-Jo‹o314	0	0
315	Maria 315	315-Maria315	0	0
316	Maria 316	316-Jo‹o316	0	0
317	Maria 317	317-Maria317	0	0
318	Jo‹o 318	318-Maria318	1	1
319	Maria 319	319-Jo‹o319	1	0
320	Jo‹o 320	320-Maria320	0	1
321	Jo‹o 321	321-Jo‹o321	1	1
322	Jo‹o 322	322-Maria322	0	1
323	Jo‹o 323	323-Maria323	0	1
324	Jo‹o 324	324-Maria324	0	1
325	Jo‹o 325	325-Maria325	0	1
326	Maria 326	326-Maria326	0	0
327	Jo‹o 327	327-Maria327	0	1
328	Maria 328	328-Jo‹o328	1	0
329	Maria 329	329-Maria329	0	0
330	Jo‹o 330	330-Maria330	0	1
331	Jo‹o 331	331-Jo‹o331	0	1
332	Jo‹o 332	332-Maria332	1	1
333	Jo‹o 333	333-Jo‹o333	1	1
334	Maria 334	334-Maria334	0	0
335	Jo‹o 335	335-Maria335	1	1
336	Maria 336	336-Jo‹o336	0	0
337	Maria 337	337-Jo‹o337	1	0
338	Jo‹o 338	338-Jo‹o338	1	1
339	Jo‹o 339	339-Maria339	1	1
340	Maria 340	340-Jo‹o340	1	0
341	Maria 341	341-Maria341	1	0
342	Jo‹o 342	342-Maria342	0	1
343	Maria 343	343-Maria343	0	0
344	Jo‹o 344	344-Jo‹o344	0	1
345	Maria 345	345-Jo‹o345	1	0
346	Maria 346	346-Maria346	0	0
347	Jo‹o 347	347-Maria347	1	1
348	Maria 348	348-Jo‹o348	0	0
349	Maria 349	349-Jo‹o349	0	0
350	Maria 350	350-Jo‹o350	1	0
351	Maria 351	351-Maria351	0	0
352	Maria 352	352-Maria352	0	0
353	Jo‹o 353	353-Jo‹o353	1	1
354	Maria 354	354-Jo‹o354	1	0
355	Jo‹o 355	355-Maria355	1	1
356	Jo‹o 356	356-Maria356	0	1
357	Jo‹o 357	357-Jo‹o357	1	1
358	Maria 358	358-Jo‹o358	0	0
359	Maria 359	359-Maria359	0	0
360	Maria 360	360-Jo‹o360	1	0
361	Maria 361	361-Jo‹o361	1	0
362	Maria 362	362-Jo‹o362	1	0
363	Maria 363	363-Jo‹o363	1	0
364	Maria 364	364-Maria364	1	0
365	Maria 365	365-Jo‹o365	1	0
366	Jo‹o 366	366-Jo‹o366	0	1
367	Maria 367	367-Maria367	1	0
368	Maria 368	368-Jo‹o368	1	0
369	Maria 369	369-Jo‹o369	0	0
370	Maria 370	370-Jo‹o370	0	0
371	Jo‹o 371	371-Jo‹o371	0	1
372	Maria 372	372-Jo‹o372	1	0
373	Maria 373	373-Maria373	1	0
374	Maria 374	374-Maria374	0	0
375	Maria 375	375-Jo‹o375	1	0
376	Jo‹o 376	376-Maria376	1	1
377	Maria 377	377-Jo‹o377	0	0
378	Jo‹o 378	378-Maria378	1	1
379	Maria 379	379-Jo‹o379	0	0
380	Maria 380	380-Jo‹o380	0	0
381	Maria 381	381-Jo‹o381	1	0
382	Jo‹o 382	382-Jo‹o382	0	1
383	Jo‹o 383	383-Jo‹o383	0	1
384	Jo‹o 384	384-Jo‹o384	0	1
385	Jo‹o 385	385-Jo‹o385	1	1
386	Jo‹o 386	386-Maria386	0	1
387	Maria 387	387-Maria387	0	0
388	Maria 388	388-Jo‹o388	0	0
389	Jo‹o 389	389-Maria389	1	1
390	Maria 390	390-Maria390	1	0
391	Jo‹o 391	391-Maria391	0	1
392	Maria 392	392-Jo‹o392	1	0
393	Maria 393	393-Jo‹o393	1	0
394	Maria 394	394-Maria394	1	0
395	Jo‹o 395	395-Jo‹o395	1	1
396	Jo‹o 396	396-Jo‹o396	1	1
397	Jo‹o 397	397-Jo‹o397	0	1
398	Maria 398	398-Jo‹o398	1	0
399	Maria 399	399-Jo‹o399	1	0
400	Maria 400	400-Maria400	1	0
401	Jo‹o 401	401-Maria401	1	1
402	Maria 402	402-Jo‹o402	1	0
403	Jo‹o 403	403-Maria403	1	1
404	Maria 404	404-Maria404	0	0
405	Maria 405	405-Maria405	1	0
406	Maria 406	406-Jo‹o406	0	0
407	Maria 407	407-Jo‹o407	1	0
408	Jo‹o 408	408-Maria408	1	1
409	Jo‹o 409	409-Maria409	0	1
410	Jo‹o 410	410-Jo‹o410	1	1
411	Maria 411	411-Jo‹o411	1	0
412	Maria 412	412-Maria412	0	0
413	Jo‹o 413	413-Maria413	1	1
414	Jo‹o 414	414-Jo‹o414	0	1
415	Jo‹o 415	415-Jo‹o415	0	1
416	Maria 416	416-Jo‹o416	1	0
417	Jo‹o 417	417-Maria417	0	1
418	Jo‹o 418	418-Maria418	1	1
419	Jo‹o 419	419-Maria419	1	1
420	Jo‹o 420	420-Maria420	0	1
421	Jo‹o 421	421-Maria421	0	1
422	Maria 422	422-Jo‹o422	1	0
423	Maria 423	423-Jo‹o423	0	0
424	Maria 424	424-Maria424	0	0
425	Maria 425	425-Jo‹o425	1	0
426	Jo‹o 426	426-Maria426	1	1
427	Maria 427	427-Maria427	1	0
428	Jo‹o 428	428-Maria428	1	1
429	Jo‹o 429	429-Jo‹o429	1	1
430	Jo‹o 430	430-Maria430	0	1
431	Jo‹o 431	431-Jo‹o431	0	1
432	Maria 432	432-Jo‹o432	1	0
433	Maria 433	433-Jo‹o433	0	0
434	Jo‹o 434	434-Jo‹o434	0	1
435	Maria 435	435-Jo‹o435	1	0
436	Jo‹o 436	436-Jo‹o436	1	1
437	Maria 437	437-Maria437	1	0
438	Maria 438	438-Jo‹o438	1	0
439	Maria 439	439-Maria439	0	0
440	Jo‹o 440	440-Maria440	0	1
441	Jo‹o 441	441-Jo‹o441	0	1
442	Jo‹o 442	442-Maria442	1	1
443	Maria 443	443-Maria443	1	0
444	Jo‹o 444	444-Jo‹o444	1	1
445	Jo‹o 445	445-Jo‹o445	0	1
446	Maria 446	446-Maria446	0	0
447	Jo‹o 447	447-Maria447	1	1
448	Jo‹o 448	448-Maria448	1	1
449	Maria 449	449-Jo‹o449	1	0
450	Jo‹o 450	450-Jo‹o450	1	1
451	Maria 451	451-Maria451	0	0
452	Jo‹o 452	452-Maria452	0	1
453	Jo‹o 453	453-Jo‹o453	0	1
454	Maria 454	454-Maria454	0	0
455	Maria 455	455-Jo‹o455	0	0
456	Jo‹o 456	456-Maria456	1	1
457	Jo‹o 457	457-Jo‹o457	0	1
458	Jo‹o 458	458-Jo‹o458	0	1
459	Maria 459	459-Jo‹o459	0	0
460	Jo‹o 460	460-Jo‹o460	0	1
461	Jo‹o 461	461-Maria461	0	1
462	Jo‹o 462	462-Maria462	1	1
463	Jo‹o 463	463-Jo‹o463	1	1
464	Maria 464	464-Maria464	0	0
465	Maria 465	465-Jo‹o465	0	0
466	Maria 466	466-Jo‹o466	1	0
467	Jo‹o 467	467-Maria467	1	1
468	Maria 468	468-Jo‹o468	0	0
469	Maria 469	469-Jo‹o469	1	0
470	Jo‹o 470	470-Maria470	0	1
471	Jo‹o 471	471-Jo‹o471	1	1
472	Jo‹o 472	472-Jo‹o472	0	1
473	Jo‹o 473	473-Jo‹o473	0	1
474	Maria 474	474-Maria474	1	0
475	Maria 475	475-Jo‹o475	0	0
476	Jo‹o 476	476-Maria476	1	1
477	Maria 477	477-Jo‹o477	1	0
478	Maria 478	478-Maria478	1	0
479	Maria 479	479-Jo‹o479	0	0
480	Jo‹o 480	480-Jo‹o480	1	1
481	Maria 481	481-Maria481	0	0
482	Jo‹o 482	482-Jo‹o482	0	1
483	Jo‹o 483	483-Jo‹o483	0	1
484	Maria 484	484-Jo‹o484	0	0
485	Jo‹o 485	485-Jo‹o485	0	1
486	Maria 486	486-Maria486	1	0
487	Maria 487	487-Jo‹o487	1	0
488	Jo‹o 488	488-Maria488	0	1
489	Jo‹o 489	489-Maria489	1	1
490	Maria 490	490-Jo‹o490	1	0
491	Jo‹o 491	491-Maria491	0	1
492	Maria 492	492-Jo‹o492	0	0
493	Jo‹o 493	493-Maria493	1	1
494	Jo‹o 494	494-Maria494	0	1
495	Maria 495	495-Maria495	1	0
496	Jo‹o 496	496-Jo‹o496	1	1
497	Jo‹o 497	497-Jo‹o497	0	1
498	Jo‹o 498	498-Maria498	1	1
499	Maria 499	499-Maria499	1	0
500	Jo‹o 500	500-Jo‹o500	1	1
501	Jo‹o 501	501-Maria501	1	1
502	Jo‹o 502	502-Jo‹o502	0	1
503	Jo‹o 503	503-Jo‹o503	1	1
504	Maria 504	504-Jo‹o504	1	0
505	Jo‹o 505	505-Jo‹o505	0	1
506	Maria 506	506-Maria506	0	0
507	Maria 507	507-Maria507	0	0
508	Maria 508	508-Jo‹o508	0	0
509	Jo‹o 509	509-Maria509	0	1
510	Jo‹o 510	510-Maria510	1	1
511	Maria 511	511-Maria511	0	0
512	Jo‹o 512	512-Jo‹o512	0	1
513	Jo‹o 513	513-Jo‹o513	1	1
514	Jo‹o 514	514-Jo‹o514	1	1
515	Maria 515	515-Maria515	1	0
516	Maria 516	516-Jo‹o516	1	0
517	Maria 517	517-Jo‹o517	0	0
518	Maria 518	518-Maria518	0	0
519	Maria 519	519-Jo‹o519	0	0
520	Maria 520	520-Maria520	0	0
521	Maria 521	521-Maria521	0	0
522	Maria 522	522-Maria522	1	0
523	Jo‹o 523	523-Jo‹o523	1	1
524	Maria 524	524-Maria524	0	0
525	Jo‹o 525	525-Jo‹o525	0	1
526	Maria 526	526-Maria526	0	0
527	Maria 527	527-Jo‹o527	0	0
528	Maria 528	528-Maria528	1	0
529	Jo‹o 529	529-Jo‹o529	1	1
530	Jo‹o 530	530-Jo‹o530	1	1
531	Jo‹o 531	531-Jo‹o531	1	1
532	Maria 532	532-Jo‹o532	1	0
533	Jo‹o 533	533-Maria533	1	1
534	Jo‹o 534	534-Maria534	0	1
535	Maria 535	535-Maria535	0	0
536	Jo‹o 536	536-Maria536	1	1
537	Jo‹o 537	537-Maria537	0	1
538	Maria 538	538-Maria538	1	0
539	Maria 539	539-Jo‹o539	0	0
540	Jo‹o 540	540-Maria540	0	1
541	Maria 541	541-Jo‹o541	0	0
542	Maria 542	542-Jo‹o542	0	0
543	Jo‹o 543	543-Jo‹o543	0	1
544	Maria 544	544-Maria544	0	0
545	Jo‹o 545	545-Jo‹o545	1	1
546	Jo‹o 546	546-Jo‹o546	0	1
547	Maria 547	547-Maria547	0	0
548	Jo‹o 548	548-Maria548	0	1
549	Jo‹o 549	549-Jo‹o549	0	1
550	Maria 550	550-Maria550	0	0
551	Jo‹o 551	551-Maria551	0	1
552	Maria 552	552-Jo‹o552	0	0
553	Maria 553	553-Jo‹o553	0	0
554	Jo‹o 554	554-Maria554	1	1
555	Maria 555	555-Jo‹o555	1	0
556	Maria 556	556-Jo‹o556	1	0
557	Jo‹o 557	557-Maria557	0	1
558	Jo‹o 558	558-Jo‹o558	0	1
559	Maria 559	559-Maria559	0	0
560	Maria 560	560-Jo‹o560	0	0
561	Jo‹o 561	561-Jo‹o561	0	1
562	Jo‹o 562	562-Maria562	0	1
563	Maria 563	563-Maria563	0	0
564	Jo‹o 564	564-Jo‹o564	0	1
565	Maria 565	565-Maria565	0	0
566	Jo‹o 566	566-Maria566	0	1
567	Maria 567	567-Maria567	1	0
568	Jo‹o 568	568-Maria568	1	1
569	Maria 569	569-Maria569	0	0
570	Maria 570	570-Jo‹o570	0	0
571	Jo‹o 571	571-Maria571	1	1
572	Jo‹o 572	572-Jo‹o572	1	1
573	Maria 573	573-Maria573	0	0
574	Jo‹o 574	574-Maria574	1	1
575	Maria 575	575-Maria575	1	0
576	Jo‹o 576	576-Maria576	0	1
577	Jo‹o 577	577-Maria577	0	1
578	Maria 578	578-Maria578	0	0
579	Jo‹o 579	579-Jo‹o579	1	1
580	Maria 580	580-Jo‹o580	1	0
581	Jo‹o 581	581-Jo‹o581	0	1
582	Jo‹o 582	582-Jo‹o582	0	1
583	Jo‹o 583	583-Jo‹o583	1	1
584	Jo‹o 584	584-Jo‹o584	0	1
585	Maria 585	585-Jo‹o585	1	0
586	Jo‹o 586	586-Maria586	1	1
587	Jo‹o 587	587-Maria587	1	1
588	Jo‹o 588	588-Maria588	1	1
589	Jo‹o 589	589-Maria589	1	1
590	Jo‹o 590	590-Jo‹o590	1	1
591	Maria 591	591-Jo‹o591	1	0
592	Jo‹o 592	592-Maria592	1	1
593	Jo‹o 593	593-Maria593	0	1
594	Maria 594	594-Jo‹o594	0	0
595	Jo‹o 595	595-Maria595	0	1
596	Maria 596	596-Jo‹o596	1	0
597	Maria 597	597-Maria597	0	0
598	Maria 598	598-Jo‹o598	1	0
599	Maria 599	599-Jo‹o599	1	0
600	Jo‹o 600	600-Maria600	0	1
601	Maria 601	601-Jo‹o601	0	0
602	Maria 602	602-Jo‹o602	0	0
603	Jo‹o 603	603-Maria603	0	1
604	Jo‹o 604	604-Maria604	1	1
605	Jo‹o 605	605-Jo‹o605	0	1
606	Maria 606	606-Maria606	0	0
607	Maria 607	607-Jo‹o607	0	0
608	Maria 608	608-Maria608	0	0
609	Jo‹o 609	609-Jo‹o609	1	1
610	Jo‹o 610	610-Jo‹o610	1	1
611	Maria 611	611-Jo‹o611	0	0
612	Jo‹o 612	612-Jo‹o612	1	1
613	Jo‹o 613	613-Maria613	1	1
614	Maria 614	614-Maria614	0	0
615	Jo‹o 615	615-Maria615	0	1
616	Jo‹o 616	616-Maria616	1	1
617	Jo‹o 617	617-Jo‹o617	0	1
618	Jo‹o 618	618-Maria618	0	1
619	Jo‹o 619	619-Jo‹o619	0	1
620	Jo‹o 620	620-Maria620	0	1
621	Maria 621	621-Maria621	0	0
622	Maria 622	622-Maria622	1	0
623	Jo‹o 623	623-Jo‹o623	1	1
624	Maria 624	624-Maria624	1	0
625	Maria 625	625-Maria625	0	0
626	Maria 626	626-Maria626	0	0
627	Jo‹o 627	627-Jo‹o627	0	1
628	Jo‹o 628	628-Maria628	0	1
629	Jo‹o 629	629-Jo‹o629	0	1
630	Jo‹o 630	630-Jo‹o630	0	1
631	Jo‹o 631	631-Jo‹o631	0	1
632	Maria 632	632-Maria632	1	0
633	Maria 633	633-Jo‹o633	0	0
634	Maria 634	634-Jo‹o634	0	0
